country_code,title,job_category,company_name,city,contract_type,workday,salary_min,salary_max,salary_period,salary_currency,salary_type,remote,publish_date
es,Analista Programador/a Java / J2EE (Zona Norte),Informática y telecomunicaciones,INETUM Norte,Donostia-San Sebastián,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-08-04
es,Desarrollador/a senior Backend ASP.NET CORE,Informática y telecomunicaciones,COBSER CONSULTING,Madrid,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-08-04
es,Soporte Técnico IT - Helpdesk / Inglés & Español,Informática y telecomunicaciones,Computacenter,Getafe,Contrato indefinido,Jornada completa,18000.0,21000.0,YEAR,EUR,GROSS,Presencial,2022-08-04
us,"Cloud Audit Analyst - Opportunity for Working Remotely Philadelphia, PA",Information Technology,VMware,"Philadelphia, PA",,,,,YEAR,USD,,,2022-08-24
es,Salesforce Developer,Informática y telecomunicaciones,IZERTIS,Madrid,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-08-04
es,REMOTO) Desarrollo de apps Android,Informática y telecomunicaciones,INETUM Centro,Valencia,Contrato indefinido,Jornada indiferente,,,,,,Solo teletrabajo,2022-08-04
es,Big Data Engineer (I&D),Informática y telecomunicaciones,Capgemini,Madrid,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-08-04
es,Jefe Coordinador de proyectos,Informática y telecomunicaciones,AIRON Sistemas S.L.,Madrid,Contrato indefinido,Jornada completa,27000.0,33000.0,YEAR,EUR,GROSS,Híbrido,2022-08-04
es,Desarrollador Power Platform,Informática y telecomunicaciones,GRUPO MARZO PROFESSIONAL SERVICES,Alcobendas,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-08-04
es,Desarrollador/a de software .Net,Informática y telecomunicaciones,GMV,Tres Cantos,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-08-04
es,Maquetador@ con experiencia en Angular,Informática y telecomunicaciones,DIMATICA,Madrid,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-08-04
es,Desarrollador .NET,Informática y telecomunicaciones,Serbyte,Madrid,Contrato indefinido,Jornada completa,27000.0,36000.0,YEAR,EUR,GROSS,Híbrido,2022-08-04
es,Diseñador/a Firmware de microcontroladores-Bilbao(*),Informática y telecomunicaciones,BETWEEN Technology,Bilbao,Contrato indefinido,Jornada completa,30000.0,52000.0,YEAR,EUR,GROSS,Híbrido,2022-08-04
es,"SWEDISH Technical Support -  (nights, weekends) - Full remote - NEW!",Informática y telecomunicaciones,Computacenter,Barcelona,Contrato de duración determinada,Jornada completa,18000.0,21000.0,YEAR,EUR,GROSS,Solo teletrabajo,2022-08-04
es,Arquitecto/a Java,Informática y telecomunicaciones,GMV,Tres Cantos,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-08-04
es,Power BI Consultant,Informática y telecomunicaciones,Bismart,Barcelona,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-08-04
es,INGENIERO CON CONOCIMIENTOS EN NETWORKING Y REDES TCP/IP,Informática y telecomunicaciones,ColaVoro,Barcelona,Contrato indefinido,Jornada completa,30000.0,39000.0,YEAR,EUR,GROSS,Híbrido,2022-08-04
uk,Senior Brand Manager,Management & Consulting,hachette,"London, England",,,35000.0,39000.0,YEAR,GBP,,,2022-08-17
es,Técnico/a de Reparación de Móviles,Informática y telecomunicaciones,Eurofirms ETT,Madrid,Contrato de duración determinada,Jornada completa,,,,,,Presencial,2022-08-04
es,"French Technical Support -  (nights, weekends) - Full remote - NEW!",Informática y telecomunicaciones,Computacenter,Barcelona,Contrato de duración determinada,Jornada completa,18000.0,21000.0,YEAR,EUR,GROSS,Solo teletrabajo,2022-08-04
es,Programadores JAVA SPRING (REMOTO),Informática y telecomunicaciones,INETUM Centro,Valencia,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-08-04
es,Arquitecto de integración (SOA/TIBCO),Informática y telecomunicaciones,NOVABASE – NEOTALENT ESPAÑA.,Madrid,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-08-04
es,Administrador/a de Sistemas,Informática y telecomunicaciones,ISOIN Ingeniería y Soluciones Informáticas,Barcelona,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-08-04
es,CONSULTOR/ARQUITECTO SEGURIDAD DEVSECOPS,Informática y telecomunicaciones,IRIUM SOLUCIONES Y SISTEMAS,Madrid,Contrato indefinido,Jornada completa,40000.0,60000.0,YEAR,EUR,GROSS,,2022-08-04
es,Técnico Analytics,Informática y telecomunicaciones,CAFENTO,Tineo,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-08-04
es,TEST AUTOMATION LEAD,Informática y telecomunicaciones,ISPROX,Madrid,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-08-04
